Chicago Community Areas,Population,Square Milage,Percentage Non-Hispanic White 2012-2016,Percentage Non-Hispanic African American or Black (2012-2016),Percentage Hispanic or Latino ,Percentage of Non-Hispanic African American or Black + Hispanic or Latino,Percentage Non-Hispanic Asian or Pacific Islander (2012-2016),Median Income,Unemployment Rate ,Food Stamps - Rate,Rate Limited food access,Percent with Easy Access to Food - 2016-18,Percent of Households with food insecurity,Number of Grocery Stores,Rate Household emergency food use ,Diabetes Rate,Average Annual Diabetes Related Deaths,Average Annual Diet-Related Deaths (2013-2017),Adult Obesity Percentage ,2
1-Rogers Park,"54,991.00",1.85,42.50,26.00,22.30,48.30,5.80,"37,223.00",8.90,19.80,2.10,68.30,,13.00,,11.20,20.00,92.00,33.70,2
2-West Ridge,"71,942.00",9.14,43.10,12.10,18.10,30.20,22.60,"46,091.00",9.20,20.20,2.80,71.70,,18.00,,11.30,26.00,131.00,24.00,11
3-Uptown,"56,362.00",2.35,54.10,19.50,13.30,32.80,10.30,"53,831.00",8.30,19.60,0.00,76.50,,15.00,,5.40,24.00,123.00,20.90,
4-Lincoln Square,"39,493.00",2.57,64.00,3.40,17.60,21.00,11.10,"62,934.00",6.20,7.20,2.30,83.10,,4.00,,7.00,11.00,54.00,20.30,
5-North Center,"31,897.00",2.07,77.30,2.00,12.50,14.50,4.50,"92,664.00",4.20,3.60,2.70,81.20,,6.00,,5.90,6.00,29.00,18.10,
6-Lakeview,"94,368.00",3.16,79.00,3.30,8.10,11.40,6.80,"82,254.00",3.20,3.00,1.10,82.90,,9.00,,6.60,15.00,93.00,16.80,
7-Lincoln Park,"64,116.00",3.19,79.00,4.70,7.00,11.70,6.30,"75,122.00",3.50,3.70,0.60,87.40,,11.00,,7.50,10.00,67.00,15.80,
8-Near North Side,"80,484.00",2.72,72.10,8.50,5.40,13.90,11.50,"103,522.00",5.00,5.40,0.00,80.40,,17.00,,4.10,12.00,102.00,13.80,
9-Edison Park,"11,187.00",1.17,88.70,1.30,6.70,8.00,2.20,"86,300.00",4.10,1.30,2.10,93.60,,1.00,,,4.00,28.00,19.70,
10-Norwood Park,"37,023.00",4.29,82.60,0.40,11.30,11.70,3.50,"71,282.00",5.60,4.80,7.60,85.40,7.10,4.00,,9.30,31.00,187.00,20.90,
11-Jefferson Park,"25,448.00",2.35,64.10,1.00,22.90,23.90,9.70,"60,472.00",7.40,7.90,1.70,65.30,,3.00,,9.80,14.00,91.00,17.80,
12-Forest Glen,"18,508.00",3.21,73.30,0.90,13.10,14.00,10.60,"101,559.00",5.10,2.70,2.40,82.50,,2.00,,,8.00,55.00,16.70,
13-North Park,"17,931.00",2.07,51.40,2.40,16.50,18.90,27.30,"51,818.00",8.50,18.80,11.20,80.90,,2.00,,17.30,14.00,62.00,18.80,
14-Albany Park,"51,542.00",1.93,29.00,4.50,48.30,52.80,15.40,"51,969.00",7.90,18.20,0.00,78.50,,11.00,,12.10,26.00,101.00,23.90,
15-Portage Park,"54,124.00",3.98,49.30,1.30,42.70,44.00,4.60,"57,031.00",7.90,13.90,4.50,75.30,,10.00,,8.70,30.00,183.00,34.70,
16-Irving Park,"53,359.00",3.23,41.50,2.80,44.60,47.40,8.30,"73,810.00",6.00,10.70,4.90,68.10,,7.00,,9.70,20.00,110.00,28.60,
17-Dunning,"41,932.00",3.75,64.10,2.10,28.90,31.00,4.10,"59,737.00",5.60,7.90,6.80,73.50,,9.00,,8.20,29.00,165.00,30.30,
18-Montclare,"13,426.00",0.99,31.00,4.50,58.40,62.90,4.00,"43,015.00",7.30,17.10,0.00,79.00,,1.00,,,9.00,53.00,43.70,
19-Belmont Cragin,"78,743.00",3.94,13.90,2.80,80.60,83.40,1.70,"43,534.00",10.80,20.40,0.00,59.30,,22.00,,10.90,30.00,144.00,32.40,
20-Hermosa,"25,010.00",1.17,7.80,2.10,87.20,89.30,1.60,"41,103.00",8.50,26.80,0.00,49.00,29.00,7.00,10.30,8.20,9.00,37.00,42.90,
21-Avondale,"39,262.00",2.00,31.20,2.10,61.20,63.30,3.60,"44,663.00",6.70,13.90,0.00,64.40,,6.00,,12.10,14.00,71.00,40.80,
