Population,Square Milage,Transportation,Percentage White,Percentage Black,Percentage Hispanic or Latino ,Median Income,Unemployment Rate ,Food Stamps ,Rate Limited Food Access,Percent with Easy Access to Food ,Number of Grocery Stores,Adult Obesity Percentage ,Diabetes Rate
54991,1.85,53.2,42.5,26,22.3,37223,8.9,19.8,2.1,68.3,13,33.7,11.2
71942,9.14,27.5,43.1,12.1,18.1,46091,9.2,20.2,2.8,71.7,18,24,11.3
56362,2.35,57.9,54.1,19.5,13.3,53831,8.3,19.6,0,76.5,15,20.9,5.4
39493,2.57,45.2,64,3.4,17.6,62934,6.2,7.2,2.3,83.1,4,20.3,7
31897,2.07,44.3,77.3,2,12.5,92664,4.2,3.6,2.7,81.2,6,18.1,5.9
94368,3.16,61.6,79,3.3,8.1,82254,3.2,3,1.1,82.9,9,16.8,6.6
64116,3.19,56,79,4.7,7,75122,3.5,3.7,0.6,87.4,11,15.8,7.5
80484,2.72,62.4,72.1,8.5,5.4,103522,5,5.4,0,80.4,17,13.8,4.1
11187,1.17,15.6,88.7,1.3,6.7,86300,4.1,1.3,2.1,93.6,1,19.7,4
37023,4.29,12.7,82.6,0.4,11.3,71282,5.6,4.8,7.6,85.4,4,20.9,9.3
25448,2.35,20.4,64.1,1,22.9,60472,7.4,7.9,1.7,65.3,3,17.8,9.8
18508,3.21,13.5,73.3,0.9,13.1,101559,5.1,2.7,2.4,82.5,2,16.7,4
17931,2.07,25.7,51.4,2.4,16.5,51818,8.5,18.8,11.2,80.9,2,18.8,17.3
51542,1.93,39.7,29,4.5,48.3,51969,7.9,18.2,0,78.5,11,23.9,12.1
54124,3.98,20.7,49.3,1.3,42.7,57031,7.9,13.9,4.5,75.3,10,34.7,8.7
53359,3.23,32.9,41.5,2.8,44.6,73810,6,10.7,4.9,68.1,7,28.6,9.7
41932,3.75,13.3,64.1,2.1,28.9,59737,5.6,7.9,6.8,73.5,9,30.3,8.2
13426,0.99,16.3,31,4.5,58.4,43015,7.3,17.1,0,79,1,43.7,12
78743,3.94,19.6,13.9,2.8,80.6,43534,10.8,20.4,0,59.3,22,32.4,10.9
25010,1.17,24.2,7.8,2.1,87.2,41103,8.5,26.8,0,49,7,42.9,8.2
39262,2,36.6,31.2,2.1,61.2,44663,6.7,13.9,0,64.4,6,40.8,12.1
73595,3.23,43.4,44.7,4.8,45.4,73443,5,10.3,0,70.5,15,22,10.2
56323,3.6,30.6,5.8,37.2,54.8,73443,14.7,38.7,10.4,56.9,16,35.4,12.8
81432,4.57,47.4,58.9,7.8,26.6,93988,5.3,10.3,3.3,76.5,14,18.7,7
98514,7.16,31.2,4.5,81.6,12.6,31634,17.7,35.2,22,55.4,14,38.9,12.4
18001,1.28,38.6,1.6,95.5,2.1,24266,18.8,52.6,3.2,62.7,7,44.6,16.1
20567,1.94,44.5,5.3,89.7,3.5,21482,18.3,48.6,13.7,72.2,3,33.4,10.9
54881,5.75,56,41.7,29.7,9.8,58796,9.1,14.2,8.5,78.8,9,19.8,7
35912,3.2,38.6,2.2,87.8,8.2,22383,21.7,51.4,16.2,49.8,4,46.8,9
79288,4.4,25.5,3.4,11.9,84,30701,9.6,36.9,3.1,55.8,22,42.5,12.2
35769,2.8,43.1,15,3.8,77.9,42458,9.3,24.6,0,60,11,24.2,11.6
29283,1.58,68.7,62,11.4,6,93508,5,2.4,0,81.2,4,10.4,2
