Population,Square Milage,Transportation,Percentage White,Percentage Black,Percentage Hispanic or Latino ,Median Income,Unemployment Rate ,Food Stamps ,Rate Limited food access,Number of Grocery Stores,Diabetes Rate
54991.00,1.85,53.20,42.50,26.00,22.30,37223.00,8.90,19.80,2.10,13.00,11.20
71942.00,9.14,27.50,43.10,12.10,18.10,46091.00,9.20,20.20,2.80,18.00,11.30
56362.00,2.35,57.90,54.10,19.50,13.30,53831.00,8.30,19.60,0.00,15.00,5.40
39493.00,2.57,45.20,64.00,3.40,17.60,62934.00,6.20,7.20,2.30,4.00,7.00
31897.00,2.07,44.30,77.30,2.00,12.50,92664.00,4.20,3.60,2.70,6.00,5.90
94368.00,3.16,61.60,79.00,3.30,8.10,82254.00,3.20,3.00,1.10,9.00,6.60
64116.00,3.19,56.00,79.00,4.70,7.00,75122.00,3.50,3.70,0.60,11.00,7.50
80484.00,2.72,62.40,72.10,8.50,5.40,103522.00,5.00,5.40,0.00,17.00,4.10
11187.00,1.17,15.60,88.70,1.30,6.70,86300.00,4.10,1.30,2.10,1.00,4.00
37023.00,4.29,12.70,82.60,0.40,11.30,71282.00,5.60,4.80,7.60,4.00,9.30
25448.00,2.35,20.40,64.10,1.00,22.90,60472.00,7.40,7.90,1.70,3.00,9.80
18508.00,3.21,13.50,73.30,0.90,13.10,101559.00,5.10,2.70,2.40,2.00,4.00
17931.00,2.07,25.70,51.40,2.40,16.50,51818.00,8.50,18.80,11.20,2.00,17.30
51542.00,1.93,39.70,29.00,4.50,48.30,51969.00,7.90,18.20,0.00,11.00,12.10
54124.00,3.98,20.70,49.30,1.30,42.70,57031.00,7.90,13.90,4.50,10.00,8.70
53359.00,3.23,32.90,41.50,2.80,44.60,73810.00,6.00,10.70,4.90,7.00,9.70
41932.00,3.75,13.30,64.10,2.10,28.90,59737.00,5.60,7.90,6.80,9.00,8.40
13426.00,0.99,16.30,31.00,4.50,58.40,43015.00,7.30,17.10,0.00,1.00,12.00
78743.00,3.94,19.60,13.90,2.80,80.60,43534.00,10.80,20.40,0.00,22.00,10.90
25010.00,1.17,24.20,7.80,2.10,87.20,41103.00,8.50,26.80,0.00,7.00,8.20
39262.00,2.00,36.60,31.20,2.10,61.20,44663.00,6.70,13.90,0.00,6.00,12.10
73595.00,3.23,43.40,44.70,4.80,45.40,73443.00,5.00,10.30,0.00,15.00,10.20
56323.00,3.60,30.60,5.80,37.20,54.80,73443.00,14.70,38.70,10.40,16.00,12.80
81432.00,4.57,47.40,58.90,7.80,26.60,93988.00,5.30,10.30,3.30,14.00,7.00
98514.00,7.16,31.20,4.50,81.60,12.60,31634.00,17.70,35.20,22.00,14.00,12.40
18001.00,1.28,38.60,1.60,95.50,2.10,24266.00,18.80,52.60,3.20,7.00,16.10
20567.00,1.94,44.50,5.30,89.70,3.50,21482.00,18.30,48.60,13.70,3.00,10.90
54881.00,5.75,56.00,41.70,29.70,9.80,58796.00,9.10,14.20,8.50,9.00,7.00
35912.00,3.20,38.60,2.20,87.80,8.20,22383.00,21.70,51.40,16.20,4.00,9.00
79288.00,4.40,25.50,3.40,11.90,84.00,30701.00,9.60,36.90,3.10,22.00,12.20
35769.00,2.80,43.10,15.00,3.80,77.90,42458.00,9.30,24.60,0.00,11.00,11.60
29283.00,1.58,68.70,62.00,11.40,6.00,93508.00,5.00,2.40,0.00,4.00,2.00
21930.00,1.75,40.90,45.00,23.70,5.40,34316.00,3.70,9.00,2.00,2.00,22.00
13391.00,0.99,40.70,11.50,9.20,3.00,24336.00,12.10,32.20,24.70,4.00,2.00
18238.00,1.67,49.60,11.50,70.30,3.20,29185.00,16.00,27.90,8.40,2.00,3.80
2876.00,0.71,40.00,3.50,91.30,5.20,23357.00,28.60,49.30,57.20,1.00,12.00
21929.00,1.73,36.80,2.50,93.00,1.60,30260.00,21.20,36.90,3.80,4.00,5.30
17841.00,1.09,44.70,17.10,68.50,2.90,39158.00,12.90,16.90,0.00,4.00,4.90
11717.00,1.48,47.90,0.40,94.40,1.80,25390.00,26.70,53.70,0.20,3.00,15.00
25681.00,1.65,66.30,47.20,28.70,7.90,45335.00,6.70,9.30,1.30,3.00,1.70
25983.00,2.07,45.90,7.90,84.10,3.00,23986.00,18.20,40.70,11.60,5.00,10.30
49767.00,2.99,44.80,2.70,93.60,1.70,26425.00,20.80,39.60,32.00,7.00,12.40
31028.00,2.92,35.50,1.50,96.30,1.00,33454.00,19.10,34.50,15.00,6.00,12.90
10185.00,1.25,20.70,0.40,97.70,0.70,41531.00,24.20,28.60,5.60,3.00,12.00
31198.00,3.34,36.30,2.40,75.50,21.00,40265.00,22.10,39.00,12.20,5.00,15.70
13812.00,1.77,27.80,1.20,94.40,3.50,49923.00,14.40,19.90,12.00,2.00,15.60
44619.00,4.86,34.80,1.00,96.40,0.90,40261.00,26.00,35.50,38.20,7.00,17.00
7325.00,2.11,34.90,9.60,82.70,5.10,36728.00,20.30,32.10,32.00,2.00,10.70
15019.00,10.70,22.70,5.30,65.40,28.30,35056.00,25.40,31.40,43.60,4.00,19.70
23042.00,2.80,15.30,17.10,2.40,80.00,40265.00,18.30,20.90,10.80,3.00,10.00
29651.00,3.58,22.10,1.30,92.70,4.90,33898.00,24.90,34.80,32.20,5.00,12.50
6482.00,3.36,42.80,1.80,93.80,3.60,31933.00,36.90,59.00,13.50,2.00,5.00
9426.00,4.78,18.70,44.90,4.90,50.10,50338.00,6.30,13.80,11.60,3.00,15.50
