Population,Square Milage,Transportation,Median Income,Unemployment Rate ,Food Stamps ,Rate Limited food access,Percent with Easy Access to Food ,Number of Grocery Stores,Adult Obesity Percentage ,Diabetes Rate
54991.00,1.85,53.20,37223.00,8.90,19.80,2.10,68.30,13.00,33.70,11.20
71942.00,9.14,27.50,46091.00,9.20,20.20,2.80,71.70,18.00,24.00,11.30
56362.00,2.35,57.90,53831.00,8.30,19.60,0.00,76.50,15.00,20.90,5.40
39493.00,2.57,45.20,62934.00,6.20,7.20,2.30,83.10,4.00,20.30,7.00
31897.00,2.07,44.30,92664.00,4.20,3.60,2.70,81.20,6.00,18.10,5.90
94368.00,3.16,61.60,82254.00,3.20,3.00,1.10,82.90,9.00,16.80,6.60
64116.00,3.19,56.00,75122.00,3.50,3.70,0.60,87.40,11.00,15.80,7.50
80484.00,2.72,62.40,103522.00,5.00,5.40,0.00,80.40,17.00,13.80,4.10
11187.00,1.17,15.60,86300.00,4.10,1.30,2.10,93.60,1.00,19.70,
37023.00,4.29,12.70,71282.00,5.60,4.80,7.60,85.40,4.00,20.90,9.30
25448.00,2.35,20.40,60472.00,7.40,7.90,1.70,65.30,3.00,17.80,9.80
18508.00,3.21,13.50,101559.00,5.10,2.70,2.40,82.50,2.00,16.70,
17931.00,2.07,25.70,51818.00,8.50,18.80,11.20,80.90,2.00,18.80,17.30
51542.00,1.93,39.70,51969.00,7.90,18.20,0.00,78.50,11.00,23.90,12.10
54124.00,3.98,20.70,57031.00,7.90,13.90,4.50,75.30,10.00,34.70,8.70
53359.00,3.23,32.90,73810.00,6.00,10.70,4.90,68.10,7.00,28.60,9.70
41932.00,3.75,13.30,59737.00,5.60,7.90,6.80,73.50,9.00,30.30,8.20
13426.00,0.99,16.30,43015.00,7.30,17.10,0.00,79.00,1.00,43.70,
78743.00,3.94,19.60,43534.00,10.80,20.40,0.00,59.30,22.00,32.40,10.90
25010.00,1.17,24.20,41103.00,8.50,26.80,0.00,49.00,7.00,42.90,8.20
39262.00,2.00,36.60,44663.00,6.70,13.90,0.00,64.40,6.00,40.80,12.10
73595.00,3.23,43.40,73443.00,5.00,10.30,0.00,70.50,15.00,22.00,10.20
56323.00,3.60,30.60,73443.00,14.70,38.70,10.40,56.90,16.00,35.40,12.80
81432.00,4.57,47.40,93988.00,5.30,10.30,3.30,76.50,14.00,18.70,7.00
98514.00,7.16,31.20,31634.00,17.70,35.20,22.00,55.40,14.00,38.90,12.40
