Population,Square Milage,Transportation,Percentage White,Percentage Black,Percentage Hispanic or Latino ,Median Income,Percent Below Poverty,Unemployment Rate ,Food Stamps ,Adult Obesity,Diabetes Rate
"54,991",1.85,53.20,42.50,26.00,22.30,37223.00,23.60,8.90,19.80,33.70,11.20
"71,942",9.14,27.50,43.10,12.10,18.10,46091.00,17.20,9.20,20.20,24.00,11.30
"56,362",2.35,57.90,54.10,19.50,13.30,53831.00,24.00,8.30,19.60,20.90,5.40
"39,493",2.57,45.20,64.00,3.40,17.60,62934.00,10.90,6.20,7.20,20.30,7.00
"31,897",2.07,44.30,77.30,2.00,12.50,92664.00,7.50,4.20,3.60,18.10,5.90
"94,368",3.16,61.60,79.00,3.30,8.10,82254.00,11.40,3.20,3.00,16.80,6.60
"64,116",3.19,56.00,79.00,4.70,7.00,75122.00,12.30,3.50,3.70,15.80,7.50
"80,484",2.72,62.40,72.10,8.50,5.40,103522.00,12.90,5.00,5.40,13.80,4.10
"11,187",1.17,15.60,88.70,1.30,6.70,86300.00,3.30,4.10,1.30,19.70,
"37,023",4.29,12.70,82.60,0.40,11.30,71282.00,5.40,5.60,4.80,20.90,9.30
"25,448",2.35,20.40,64.10,1.00,22.90,60472.00,8.60,7.40,7.90,17.80,9.80
"18,508",3.21,13.50,73.30,0.90,13.10,101559.00,7.50,5.10,2.70,16.70,
"17,931",2.07,25.70,51.40,2.40,16.50,51818.00,13.20,8.50,18.80,18.80,17.30
"51,542",1.93,39.70,29.00,4.50,48.30,51969.00,19.20,7.90,18.20,23.90,12.10
"54,124",3.98,20.70,49.30,1.30,42.70,57031.00,11.60,7.90,13.90,34.70,8.70
"53,359",3.23,32.90,41.50,2.80,44.60,73810.00,13.10,6.00,10.70,28.60,9.70
"41,932",3.75,13.30,64.10,2.10,28.90,59737.00,10.60,5.60,7.90,30.30,8.20
"13,426",0.99,16.30,31.00,4.50,58.40,43015.00,15.30,7.30,17.10,43.70,
"78,743",3.94,19.60,13.90,2.80,80.60,43534.00,18.70,10.80,20.40,32.40,10.90
"25,010",1.17,24.20,7.80,2.10,87.20,41103.00,20.50,8.50,26.80,42.90,8.20
"39,262",2.00,36.60,31.20,2.10,61.20,44663.00,15.30,6.70,13.90,40.80,12.10
"73,595",3.23,43.40,44.70,4.80,45.40,73443.00,16.80,5.00,10.30,22.00,10.20
"56,323",3.60,30.60,5.80,37.20,54.80,73443.00,33.90,14.70,38.70,35.40,12.80
"81,432",4.57,47.40,58.90,7.80,26.60,93988.00,14.70,5.30,10.30,18.70,7.00
"98,514",7.16,31.20,4.50,81.60,12.60,31634.00,28.60,17.70,35.20,38.90,12.40
"18,001",1.28,38.60,1.60,95.50,2.10,24266.00,41.70,18.80,52.60,44.60,16.10
"20,567",1.94,44.50,5.30,89.70,3.50,21482.00,42.40,18.30,48.60,33.40,10.90
"54,881",5.75,56.00,41.70,29.70,9.80,58796.00,20.60,9.10,14.20,19.80,7.00
"35,912",3.20,38.60,2.20,87.80,8.20,22383.00,43.10,21.70,51.40,46.80,9.00
"79,288",4.40,25.50,3.40,11.90,84.00,30701.00,30.70,9.60,36.90,42.50,12.20
"35,769",2.80,43.10,15.00,3.80,77.90,42458.00,25.80,9.30,24.60,24.20,11.60
"29,283",1.58,68.70,62.00,11.40,6.00,93508.00,14.70,5.00,2.40,10.40,
"21,930",1.75,40.90,45.00,23.70,5.40,34316.00,13.80,3.70,9.00,9.70,
"13,391",0.99,40.70,11.50,9.20,3.00,24336.00,40.10,12.10,32.20,,
"18,238",1.67,49.60,11.50,70.30,3.20,29185.00,29.60,16.00,27.90,24.70,3.80
"5,918",0.60,42.80,1.90,91.90,3.70,28436.00,39.70,21.20,44.70,44.00,
"2,876",0.71,40.00,3.50,91.30,5.20,23357.00,51.20,28.60,49.30,,
"21,929",1.73,36.80,2.50,93.00,1.60,30260.00,29.30,21.20,36.90,45.50,5.30
"17,841",1.09,44.70,17.10,68.50,2.90,39158.00,21.70,12.90,16.90,31.60,4.90
"11,717",1.48,47.90,0.40,94.40,1.80,25390.00,42.10,26.70,53.70,43.20,
"25,681",1.65,66.30,47.20,28.70,7.90,45335.00,18.40,6.70,9.30,11.90,1.70
25983,2.07,45.90,7.90,84.10,3.00,23986.00,30.70,18.20,40.70,50.70,10.30
49767,2.99,44.80,2.70,93.60,1.70,26425.00,31.10,20.80,39.60,31.30,12.40
31028,2.92,35.50,1.50,96.30,1.00,33454.00,27.80,19.10,34.50,39.50,12.90
10185,1.25,20.70,0.40,97.70,0.70,41531.00,17.20,24.20,28.60,55.70,12.00
31198,3.34,36.30,2.40,75.50,21.00,40265.00,29.80,22.10,39.00,43.40,15.70
2916,0.62,35.50,0.50,99.10,0.00,33454.00,33.00,18.40,35.10,,
13812,1.77,27.80,1.20,94.40,3.50,49923.00,11.50,14.40,19.90,31.10,15.60
44619,4.86,34.80,1.00,96.40,0.90,40261.00,19.80,26.00,35.50,52.60,17.00
