ADDRESS,LATITUDE,LONGITUDE,LOCATION
3333 S Iron Street ,41.8332227100,-87.6610220800,"(41.83322271, -87.66102208)"
444 W Chicago ,41.8966172500,-87.6404448500,"(41.89661725, -87.64044485)"
71st & Prairie,41.7656449200,-87.6184778500,"(41.76564492, -87.61847785)"
58th & Wood,41.7885099000,-87.6692952400,"(41.7885099, -87.66929524)"
1100 W Roosevelt ,41.8671430100,-87.6544262600,"(41.86714301, -87.65442626)"
4400 S Stewart ,41.8144499500,-87.6358787600,"(41.81444995, -87.63587876)"
400 N Kedzie ,41.8883152200,-87.7064860700,"(41.88831522, -87.70648607)"
5700 S Perry ,41.7909067100,-87.6278614300,"(41.79090671, -87.62786143)"
4400 S State,41.8146022400,-87.6263711200,"(41.81460224, -87.62637112)"
89th & Commercial,41.7337305000,-87.5513461000,"(41.7337305, -87.5513461)"
600 E 130th St ,41.6592547900,-87.6074287800,"(41.65925479, -87.60742878)"
