Median Income,Percent with Easy Access to Food,Adult Obesity Percentage 
37223.00,68.30,33.70
46091.00,71.70,24.00
53831.00,76.50,20.90
62934.00,83.10,20.30
92664.00,81.20,18.10
82254.00,82.90,16.80
75122.00,87.40,15.80
103522.00,80.40,13.80
86300.00,93.60,19.70
71282.00,85.40,20.90
60472.00,65.30,17.80
101559.00,82.50,16.70
51818.00,80.90,18.80
51969.00,78.50,23.90
57031.00,75.30,34.70
73810.00,68.10,28.60
59737.00,73.50,30.30
43015.00,79.00,43.70
43534.00,59.30,32.40
41103.00,49.00,42.90
44663.00,64.40,40.80
73443.00,70.50,22.00
73443.00,56.90,35.40
93988.00,76.50,18.70
31634.00,55.40,38.90
24266.00,62.70,44.60
21482.00,72.20,33.40
58796.00,78.80,19.80
22383.00,49.80,46.80
30701.00,55.80,42.50
42458.00,60.00,24.20
93508.00,81.20,10.40
34316.00,74.70,9.70
24336.00,78.10,
29185.00,45.70,24.70
28436.00,35.70,44.00
23357.00,65.40,
30260.00,64.50,45.50
39158.00,68.70,31.60
25390.00,42.30,43.20
45335.00,75.40,11.90
23986.00,48.40,50.70
26425.00,61.10,31.30
33454.00,65.80,39.50
41531.00,48.00,55.70
40265.00,59.30,43.40
33454.00,,
49923.00,70.10,31.10
40261.00,57.00,52.60
36728.00,71.60,28.30
35056.00,51.10,42.40
40265.00,71.00,35.50
33898.00,57.10,53.40
31933.00,64.40,24.20
50338.00,76.50,47.60
67984.00,74.10,41.70
56684.00,58.80,59.50
42758.00,56.70,36.40
39611.00,84.30,23.50
43056.00,76.90,33.70
30421.00,53.60,30.90
44791.00,77.10,39.10
38852.00,70.90,22.80
60624.00,74.30,34.90
50384.00,69.40,29.70
33122.00,53.90,41.60
27399.00,60.90,50.70
19854.00,54.50,40.70
31120.00,56.80,40.60
63573.00,75.10,36.40
35890.00,65.00,42.30
90766.00,86.20,32.60
25390.00,59.50,31.80
89536.00,82.60,17.10
88321.00,73.20,40.50
66741.00,74.40,25.40
46174.00,84.90,24.70
