STORE NAME,COMMUNITY AREA NAME,COMMUNITY AREA,WARD,,,,,,
BOB'S LIQUORS & GROCERIES,AUSTIN,25,28,,,,,,
QUICK STOP FOOD MART,WEST RIDGE,2,50,,,,,,
DOMINICK'S #147/1147,NEAR WEST SIDE,28,2,,,,,,
CERMAK PRODUCE,WEST ELSDON,62,23,,,,,,
WHOLE FOODS MARKET,LAKE VIEW,6,44,,,,,,
PATEL BROS,WEST RIDGE,2,50,,,,,,
OHIO FOOD MART,AUSTIN,25,37,,,,,,
JOE'S FOOD & LIQUOR,ALBANY PARK,14,39,,,,,,
TWO BLUE FOODS INC,PULLMAN,50,8,,,,,,
JEWEL FOOD STORE #3349,BELMONT CRAGIN,19,36,,,,,,
200 LIQUORS,GRAND BOULEVARD,38,3,,,,,,
CARNICERIA LA GLORIA,GAGE PARK,63,14,,,,,,
WHOLE FOODS MARKET,NEAR WEST SIDE,28,2,,,,,,
PETERSON FOOD MART,WEST RIDGE,2,50,,,,,,
STANLEY'S,WEST TOWN,24,32,,,,,,
FOOD 4 LESS,AUSTIN,25,37,,,,,,
COMMERCIAL GROCERY,SOUTH DEERING,51,10,,,,,,
JEWEL FOOD STORE,MORGAN PARK,75,34,,,,,,
"LA UNICA FOOD MART, INC.",EDGEWATER,77,40,,,,,,
MID TOWN FOODS,HUMBOLDT PARK,23,27,,,,,,
"7400 S HALSTED FOOD AND LIQUORS, INC.",ENGLEWOOD,68,17,,,,,,
THREE BROTHER,WEST TOWN,24,26,,,,,,
CUENCA'S BAKERY & GROCERIES,IRVING PARK,16,38,,,,,,
JEWEL FOOD STORES #3262,PORTAGE PARK,15,45,,,,,,
ROMAN BROS 1 INC,ROGERS PARK,1,49,,,,,,
TAI NAM CORPORATION,UPTOWN,3,48,,,,,,
LA JALISCIENCE,SOUTH LAWNDALE,30,22,,,,,,
HOLLYWOOD TOWER MKT,EDGEWATER,77,48,,,,,,
A & R FOOD MART,BELMONT CRAGIN,19,37,,,,,,
S. S. FOOD & LIQUOR,LINCOLN PARK,7,43,,,,,,
S L PANTRY & GRILL,UPTOWN,3,46,,,,,,
ANDYS FRUIT RANCH,ALBANY PARK,14,33,,,,,,
DOMINICK'S #1875,NEAR WEST SIDE,28,27,,,,,,
SAVE-A-LOT # 866,NORTH LAWNDALE,29,22,,,,,,
W K R B FOOD & LIQUOR,CHATHAM,44,8,,,,,,
OSAMA FOOD MART,WOODLAWN,42,20,,,,,,
EL  PASEO  BORICUA,WEST TOWN,24,26,,,,,,
FOOD BASKET,ENGLEWOOD,68,17,,,,,,
SHOP & SAVE MARKET,GARFIELD RIDGE,56,23,,,,,,
GENES SAUSAGE SHOP AT DELI MEYER,LINCOLN SQUARE,4,47,,,,,,
ALDI INC. #96,WEST PULLMAN,53,34,,,,,,
SUPER FURNITURE & FOOD MART,NEW CITY,61,16,,,,,,
ALDI FOODS STORE #2,HERMOSA,20,31,,,,,,
LOS POTRILLOS,AVONDALE,21,35,,,,,,
MAYFLOWER FOOD,ARMOUR SQUARE,34,25,,,,,,
Municipal Foods,WEST TOWN,24,26,,,,,,
SUPERMERCADO TEPECOA GUERRERO,WEST LAWN,65,13,,,,,,
ALDI INC STORE #16,AVALON PARK,45,8,,,,,,
ALDI FOODS STORE #26,LINCOLN PARK,7,32,,,,,,
KAPS FOODS,BRIGHTON PARK,58,12,,,,,,
SANABEL GROCERY & BAKERY,IRVING PARK,16,33,,,,,,
ALLA'S FOOD,CALUMET HEIGHTS,48,8,,,,,,
AL BAYAN GROCERY INC.,BELMONT CRAGIN,19,36,,,,,,
GENE'S SAUSAGE SHOP & DELI INC,PORTAGE PARK,15,38,,,,,,
RIGO'S GROCERY,SOUTH LAWNDALE,30,22,,,,,,
WALMART,PULLMAN,50,9,,,,,,
CHICAGO PRODUCE,ALBANY PARK,14,39,,,,,,
DIA FOOD & LIQUOR,MORGAN PARK,75,34,,,,,,
"PARK FOODS OF 71ST STREET,INC.",CHICAGO LAWN,66,18,,,,,,
PETE'S PRODUCE,CALUMET HEIGHTS,48,8,,,,,,
HAREER FOOD & LIQUOR,NEW CITY,61,20,,,,,,
TRADER JOE'S EAST,NEAR NORTH SIDE,8,42,,,,,,
EMILIO'S PRODUCE,LOGAN SQUARE,22,1,,,,,,
"GRAND PALACE SUPERMARKET, INC",GREATER GRAND CROSSING,69,6,,,,,,
